NAME,NCOMP,MSINI,A,PER,ECC,OM,T0,K,BINARY
WASP-46 b,1,2.08495,0.0244921,1.43037,0,90,2455392.316,387,0
WASP-44 b,1,0.88769,0.0347371,2.4238039,0,90,2455434.376,138.8,0
WASP-45 b,1,1.00188,0.0405459,3.1260876,0,90,2455441.269,148.3,0
TrES-5 b,1,1.77,0.0245157,1.4822446,0,90,2455443.252,339.8,0
WASP-54 b,1,0.630293,0.049881,3.6936411,0.067,62,2455518.091,73,0
Qatar-1 b,1,1.08272,0.0234308,1.420033,0,90,2455518.41,218,0
WASP-43 b,1,1.7613,0.0142363,0.813475,0,90,2455528.868,550.3,0
WASP-35 b,1,0.716644,0.0431283,3.161575,0,90,2455531.479,94.82,0
WASP-79 b,1,0.884655,0.0534741,3.6623817,0,90,2455545.235,88.2,0
WASP-50 b,1,1.46438,0.0294714,1.9550959,0.009,44,2455561.549,256.6,0
WASP-36 b,1,2.25537,0.0262601,1.5373653,0,90,2455569.837,391.4,0
WASP-13 b,1,0.472376,0.0537034,4.3530135,0,90,2455575.514,55.5,0
WASP-49 b,1,0.376728,0.0378972,2.7817387,0,90,2455580.594,56.8,0
WASP-64 b,1,1.2691,0.0265195,1.5732918,0,90,2455582.602,221,0
WASP-72 b,1,1.40552,0.036575,2.216726,0,90,2455583.656,181.3,0
Qatar-2 b,1,2.483,0.0215077,1.3371182,0,90,2455624.267,558.7,0
WASP-42 b,1,0.496749,0.0547344,4.9816877,0,90,2455650.567,64.3,0
tau Boo b,1,4.13,0.0480039,3.312433,0.023,90,2455652.108,466.4,1
WASP-32 b,1,3.441,0.0390315,2.718661,0,90,2455681.195,478,0
WASP-20 b,1,0.309586,0.0599991,4.8996285,0,90,2455715.8,32.8,0
WASP-57 b,1,0.675475,0.0386362,2.838971,0,90,2455717.878,100,0
WASP-56 b,1,0.605178,0.056145,4.617101,0,90,2455730.799,69,0
WASP-70 A b,1,0.589331,0.0485382,3.7130203,0,90,2455736.503,72.3,0
WASP-55 b,1,0.57116,0.0532575,4.465633,0,90,2455737.94,70,0
WASP-71 b,1,2.24554,0.0463361,2.9036747,0,90,2455738.85,236.4,0
WASP-60 b,1,0.511799,0.0531121,4.3050011,0,90,2455747.03,60.8,0
WASP-69 b,1,0.259116,0.0452527,3.8681382,0,90,2455748.833,38.1,0
WASP-47 b,1,1.13635,0.0520112,4.1591399,0,90,2455764.346,136,0
WASP-52 b,1,0.45566,0.0271336,1.7497798,0,90,2455793.681,84.3,0
KOI-4427 b,1,0.31253075,0.441345,147.6606,0,90,2455815.262,2.5575,0
WASP-67 b,1,0.418184,0.0517914,4.61442,0,90,2455824.374,56,0
WASP-59 b,1,0.859026,0.0696866,7.919585,0.1,74,2455830.669,109.6,0
WASP-62 b,1,0.562022,0.0567187,4.411953,0,90,2455855.392,60,0
